,Cleaned_English_Tweets,overall_sentiment
2866,adipurush controversy updates read,neutral
2869,indeed tolerance hindus put test thankfully atleast understood sanatan dharma,positive
2870,film criticised social media gangster filmstyle dialogue overreliance visual effects casting choices,negative
2874,amid controversy air tv july watch video,neutral
2875,amid controversy air tv july watch video,neutral
2876,row allahabad high court slams censor board dialogue controversy alleged censor board purview modi govt,negative
2877,testing tolerance level hindus lambasts makers crass portrayal characters,neutral
2878,consider countrymen brainless allahabad high court slams makers matter alleged cbfc modi govt gave film censor certificate approving theater release,negative
2879,finally judiciary started consider hindus humans,neutral
2881,pulling makers objectionable scenes dialogues high court directed cowriter manoj muntashir shukla made party case,positive
2883,allahabad hc raps filmmakers cbfc giving certificate,neutral
2886,movies vested interests eager declare verdict days movie running hit status hindi running recovery,positive
2887,allahabad high court observed adipurushs depiction characters objectionable asked cbfc appropriate action certification process click,neutral
2889,indianjamesbond punch dialogue hollywood jamesbond series stop tired stop im,negative
2890,biggest fandom south indian hero,positive
2893,consider public including youth brainless allahabad hc pulls adipurush makers,neutral
2895,test tolerance hindus hc pulls adipurush makers censor board uncivil dialogues movie,negative
2898,bench comprising justices rajesh singh chauhan shree prakash singh observed orally religion tolerant tested,neutral
2899,ideas make story copy phew visuals worse s cartoons imagination nil frame story board beginning shelve project remade love money mind,neutral
2905,days ww box office collections,neutral
2908,allahabad high court shown makers bua bagicha today filmmakers stop testing patience hindu majority,negative
2909,virtual chains real consequences vr dream prison upcoming dystopian,negative
2910,adipurush impact kriti sanon reduces remuneration heavy backlash,neutral
2911,collegium proud despite admitting lies cbfc received criticism courts kerala story wow,positive
2912,venky mama saindhav movie shooting mind space hyderabad fans call naga naidu epic reaction full video,neutral
2915,volleyer mountain peaks represser gods extirpator ethical values molester wives shurpanakha,positive
2917,comments allahabad high court today religion believers create public order problem thankful,positive
2923,bjp leaders selfclaimed thekedar hindus read thread allahabad high court theyve shame left paid promotion filthy movie,negative
2926,appears poorest epic creative horribly wrong amazing system attack scarce resources setting rules future projectsnot,negative
2927,point sleeping beauty censor board accountability proud amazing hypocrite attitude,positive
2930,thread prabhas wish lines saif away limelight shivbhakt ravan found wrong heads scene creative fun walk,positive
2931,movie ni theatres chusthunnara,neutral
2934,told underperform stars colleague,neutral
2935,consider countrymen brainless court slams makers,neutral
2938,watched family revisited superb bgm music,positive
2939,hindu produced movie hindu opposed hindu remained calm opposing movie,neutral
2940,lifetime lower nearer disaster,negative
2942,hope sanity prevails words lead action related film core team high level utter shameful mockery sentiments hindus wait silently harm justice jail core team simple,negative
2943,collected hindi saturday sunday predicted monday total today rake approximately lakhs lif heading predicted,neutral
2946,focused visuals dialogues made impact ravan convince sita expecting lines attempt hilarious interactions heads loved,positive
2948,tolerance hindus put test thankful law order situation arose allahabad hc slams makers,positive
2950,lucknow bench high court tolerance level particular religion referring hindus put test filmmakers,neutral
2951,prabhas needed lines emotional moments convo sita beautiful shabri moment ws lagged lot emotions jatayu scene break free sita wish sita spoke bit quiet lolno cries,positive
2952,manifesting collaboration deserve film asap deserve promotional interviews onscreen offscreen chemistry perfect,positive
2954,beauty million interpretation beautiful amazing shittiest,positive
2956,theatrical release movie trends imdbs popular indian celebrities feature week,positive
2957,adipurush stoked nostalgia kodi ramakrishnas films makes special ammoru vfx adipurush theyre rewarding experience writes,positive
2958,theatrical release movie trends imdbs popular indian celebrities feature week,positive
2960,hindi monday net today witnessing drop watch watch thursday removed e r,negative
2961,news bulletin photo credit ani,positive
2963,kashmir files director part central board film certification watch,neutral
2965,secular retelling chosen portions ramayanamno version glaring fulltreat enjoy majority portion,positive
2967,put disclaimer consider countrymen youth brainless show lord rama lord laxman lord hanuman ravana lanka ramayana allahabad hc slams makers read,neutral
2968,thread prabhas wish lines saif away limelight shivbhakt ravan found wrong heads scene creative fun walk,positive
2970,basic structure valmiki ramayana distorted language dialogues gully boys pil sc seeks ban adipurush,negative
2972,consider youth brainless allahabad hc slams makers tampering,neutral
2973,consider countrymen brainless court slams makers,neutral
2974,pulled makers film dialogues infuriated large section audience hurting religious sentiments court directed films cowriter manoj muntashir shukla made party case issued notice directing respond week,negative
2975,comments allahabad high court today religion believers create public order problem thankful news cinema halls forced close hall filmmakers argument disclaimer added film inspired ramayan court put disclaimer consider countrymen youth brainless show lord rama lord laxman lord hanuman ravana lanka ramayana,neutral
2976,strong observations allahabad high court,positive
2979,movies shows till pm s s t s t s t s,neutral
2983,movies shows till pm s s s s s,neutral
2985,movies shows till pm s s s s t s,neutral
2988,allahabad high court slams makers shukla issued notice read full story download app,neutral
2991,slamming makers movie portraying religious characters including lord rama lord hanuman objectionable manner allahabad hc today observed tolerance level particular religion put test,neutral
2992,allahabad high court tuesday pulled makers adipurush dialogues film read,neutral
2993,todays legal news june,neutral
2995,hindus tolerance level put test times bollywood movies st movie high court judges movies general comments decades back bollywood surviving today hindus tolerant,positive
2996,films called flops due mistakes collected crores called hit films gave profits producers stardom,negative
2997,including japan release collected gross worldwide adipurush saaho ww gross release japan,negative
3003,witnessed expected big drop day film minted monday nett te ta gross overseas worldwide days,negative
3007,artist wild trance shared generated images south superstars rana daggubatti ai tool ai,neutral
3008,download mindspace app appstore divine birth sita janakas fortunate encounter,positive
3010,st week city gross,negative
3017,amid row ramanand sagars return tv heres watch,neutral
3019,time groups rejected movie firstly sad based movie facing negativity expected st haters oiling matter elements adding nd religious movie rd genuine public,negative
3023,allahabad high court pulled makers film dialogues infuriated large section audience accuse hurting religious sentiments court directed cowriter manoj muntashir shukla made party case issued notice directing respond week,negative
3029,shame devil actress making fun letter age daughtersister flirting herthere difference antihindu anil kapoor shame,negative
3032,build chargeable public toilet launch movie tym biz model min investment blunders single movie ppl hard fail,negative
3033,content outraged gatekeepers hindu dharm ravan demons lanka kingdom place creative freedom argue outrage leftwing gatekeepers liberals laughable,negative
3035,worstvulgar version holy historyepic made history india forgive,neutral
3036,team respond sole purpose make money shows wil accept movie paid money tolerance tested allahabad court pulls adipurush makers ndtv,positive
3037,film opened decent collection crore day crore worldwide gross,negative
3038,repost instagram story,neutral
3039,hanuman feedback,neutral
3042,highly anticipated film modern retelling epic experienced significant drop box office collection concluded week theaters,negative
3045,bhimavaram th day noon show gross matinee gross,negative
3047,final collection settle rm movie dropped drastically showtimes occupancy due negative wom,negative
3048,mi lord central board film certification members ms vani tripathi chairman hv quietly watched certified great amusement reading ur tweets,positive
3050,ordered impleadment dialogue writer movie manoj muntashir shukla partyrespondent pil plea directed issuance notice,neutral
3052,mi lord central board film certification members ms vani tripathi chairman hv quietly watched certified great amusement reading ur tweets,positive
3055,neverending story social media manager digital marketing agency fingers crossed sweet nod approval,positive
3057,tolerance hindus put test heavens create law order situation put disclaimer consider countrymen youth brainless allahabad high court slamming makers movie adipurush,positive
3058,antihindu propaganda filmshame malayalikeralite kerala supporting antihindu prabhasom raut freedomin state valmiki ramayana month conducted yearis feelings god rama vishnu hurtshame south indian supporters,positive
3060,fourth c share star noise fans mafia make empty vessels,neutral
3062,australia k untadhi rest world gross edhi ra south africa south east west collection evi ra puma ga include ayyie m untadhi discount isthavu entra pumka,negative
3064,star modernday mahabharata failure deets inside,negative
3068,honble high court disaster important faith culture tampered street random issues stop playing sanatan emotions period,negative
3075,wonder haters spent campaign,negative
3077,bhimavaram town th day matinee gross theaters,negative
3078,feel pure love devotion full video tomorrow jai siya ram book tickets cinemas,positive
3082,joining chorus film oppositions seperate faithful hurt cheap superficial dialogues film part agenda,negative
3085,bhimavaram town th day matinee gross theatres,negative
3086,thankful news cinema halls movie exhibited forced close hall,neutral
3087,gentle oned suppressed religion believers create public order problem,neutral
3088,court rains fire censor board adipurush dialogue row explodes find epic ramayana adaptation controversy click,negative
3090,humanize marutimaruthi god humanone hit macegadha hanuman mustshame born hindu,neutral
3091,breaking tolerance hindus put test heavens create law order situation allahabad hc slams makers adipurush,positive
3092,note government dy solicitor general defending bench close eyes religion tolerant test itsnt propaganda petition,neutral
3093,crs share crs nett,neutral
3095,feel pure love devotion full video tomorrow jai siya ram book tickets cinemas,positive
3096,feel pure love devotion full video tomorrow jai siya ram book tickets cinemas,positive
3097,click read download updates,neutral
3098,north india breakeven th clean hit north india belt game changer critic proof superstar indian cinema doubt,negative
3099,adipurushs flop cautionary tale reinterpreting religious stories,negative
3102,click read download updates,neutral
3103,bench dictating order dialogue writer movie manoj muntashir shukla impleaded party respondent pil plea notices issued,positive
3104,gatothkacha waste gatothkacha,negative
3106,click read download updates,neutral
3107,allahabad hc taking strong objections dialogue scenes bench issue solicitor general censor board state government matter,neutral
3110,feel pure love devotion full video tomorrow jai siya ram book tickets cinemas,positive
3111,click read download updates,neutral
3113,sir anti hindu film adipurush app ban app reality actionable ground laoge laoge govt agencies usko lagoo payengi start banning belive,negative
3115,adipurush bo collection,neutral
3116,thum loafer jante empty theatre pic dalna google adipurush tag rrr troll loafer lkb thumko kaam besharam tweet dekhna ikkatha hoker marenge,negative
3117,told underperform stars colleague,neutral
3119,news saint rampal ji read article real adipurush,neutral
3120,tamil version reached crores days total includes versions worldwide approximated gross crores,negative
3121,back,neutral
3124,veteran actor antihindu insulted hindu gods modern phonescomputers shame insult,negative
3126,key role watch,neutral
3128,watched video songs tbh visuals gonna reviews cinema ela undho telidu mari,neutral
3129,visible shown searching makers made film inhaling charas,neutral
3130,vivek agnihotri extremely sensitive responsible making movie hurt somebodys faith,neutral
3132,interview watch,neutral
3136,surprising evil understand show,negative
3138,pb movies talk expect cheyadhu film industry filled jealousy talk ee ta fixed review stars disappointed ippudu lage untadhi future kuda fans strong united avvali anthe,neutral
3142,answers censor board objections watch film,negative
3143,adipurush days worldwide box office collections read,neutral
3144,mentioned earlier tweets,neutral
3146,definitely great achievement movie entire film industry close hope make hit hope promote online intensely,positive
3147,bench seedha dabaiye shukra law order situation create news cinema hall sirf band karwa chale,neutral
3148,presented traditional formatthen faced negativitiesu r wrongsince announcementit targeted face level attacks irrespective formatspreading wrong info r part targets r n om,negative
3149,prabhas stardom unfazed adipurushs failure offered panindia film vikrant rona makers fat paycheque,negative
3150,memes tempted watch hard bear curiosity understand n,negative
3151,checkout current situation box office click read,neutral
3152,allahabad hc nailed film issued notice made party karma pays music movie shukla babu kaam,positive
3153,video mariana trench mystery check content forget subscribe channel thankyou,negative
3154,chuppi bcz degrading minority act freedom speech legal battle bcz majority community astha sawal,negative
3155,dy solicitor general dialogues changed bench dy sg kaam scenes instructions seek kariye hume,neutral
3156,hearing pil filed justice rajesh singh chauhan dharm baare public order problem create source,positive
3158,read lies misleading tweets blockbuster load garbage reality confirmed flop box office stand dishonest narratives deceive audience,negative
3160,top town,neutral
3161,dy solicitor general scenes dialogues movie allegedly objectionable verify facts competent authority,positive
3163,monday day box office collection sees big fall emerges flop despite film collecting excess net days lifetime collection remain nboc,negative
3164,tseries tseries roast make content meme creators streambuy tickets multiple times listenwatch create content roasting n,neutral
3165,bench dictating order photographs attached petition film objectionable,neutral
3166,movie super duper flop cinema gharo utar chuki interested simply waste time courts,neutral
3167,adipurush box office collection day prabhas film earns crore monday,neutral
3168,team surrendered completely learnt srk fake collection dikhayo public lagne lage real movie business saal kutta puch srk scam pr,negative
3170,collection format weekend india nett overseas gross worldwide gross lifetime ww gross trend verdict disaster,negative
3171,bench dictating order dialogue writer movie manoj muntashir shukla impleaded party respondent pil plea notices issued,positive
3172,recently reports surfaced claiming kriti sanon reduced fee underwhelming performance film adipurush,neutral
3173,anta idu motham tollywood paina bathukuthunadu fan wars reason idukuda,negative
3174,lt interpretation scriptures movie sponsored muslim interpreted interpretation supervision deep scrutiny religious scriptures devils hands,negative
3178,observance made court religion court referring watching creating ruckus society past years remarks court expunged published,neutral
3179,time fan bases unite shyams case murder authorities investigate due diligence family rip,negative
3180,make songs pure hatred jealousy obvious unfortunately entire media puppet hands surprised haters spent budget campaign makers spent,negative
3181,worry boxoffice despite negativity boxoffice destructor,negative
3182,bench orders high courts supreme court connection movie,positive
3184,bench issue solicitor general censor board state government matter,negative
3186,counsel cbfc discharge duties certifying movie adhere principles laid cinematography act,neutral
3188,hit hindi belt ts understand forces working hit situation pathaan worked,neutral
3190,counsel attached images sita shown movie respect,positive
3191,counsel petitioner prince lenin cinematography act guiding principles cbfc certifying film movie clean degrading women allowed maa sita degraded film,negative
3194,making god song hare ram hare krishna disco songat time problemnow coming split,neutral
3196,bench difficult watch types movies counsel petitioner bench watch movie pass order,negative
3197,daily oka times repeats vintuntey unna ayya bondam songs bgm ayina st half ramp echinadhuku,neutral
3200,genuine review ps team cancelled ivs fearing wrong interpretation wordsthat happened missed cute moments,negative
3202,actor bagged movie malayalam film starring,neutral
3203,bench censor board jimmedari nibhayi dharm baare jisko public order problem create lord hanuman lord hanuman sita maa dikhaya,negative
3204,hope ppl notice,positive
3206,actor bagged movie malayalam film starring,neutral
3207,allahabad high court begins hearing pil pleas exhibition dialogues film hearing bench justices rajesh singh chauhan shree prakash singh bench issue movie granth misaal poojaniya ramcharitmanas padh nikalte,neutral
3208,huge haters campaign ippudu hype ekkuva vadhu instead focus hindi hit deggara kuda hit cheyyali,negative
3211,hope fans sincerely damage directly hope start speaking actual ves movie theaters,positive
3216,reading world famous artist raja ravi varma drawn sitaharana correctly ravana touched sita kidnap fooled crore india fake,negative
3218,negativity protest reached breakeven status reasons lives indians heart stardom adipurush makers made sensibly matched expectations result anyones imagination lesson learnt mess religionhistorical factsstars makers extra careful creative liberty subjects,neutral
3219,vizag city collections noon show sarat jagadamba sri melody sangam sharada sree rama sree kanya sri venkateswara svcgokul ramadevi,neutral
3221,shame act eligible character work real ramayana insulted ramayan plot,negative
3228,embrace powerful chants delve world devotion full video jai shri ram telugu book tickets cinemas,positive
3229,bounces back signs highbudget film despite flop,neutral
3230,antihindu showed goddess sita fake janaki kidnapped roots bag ravana wrong original ravana sitaharan chayasitamayasita real devi sita brain fused wroteshooted,negative
3234,check link producers declaring fake numbers box office collectionwhile different real collection disaster,negative
3235,day box office collection,neutral
3238,screens day weekend budget,neutral
3239,exclusive prabhass spate letdowns postbaahubali continues superstar worried,negative
3242,prabhas led adipurush collects crore monday,neutral
3243,rockerz pro nackbands premium quality check price online shipping,neutral
3244,immortal tws earbuds premium quality check price online shipping,neutral
3245,gave official statement numbers garu broght telugu theatrical rights figures r speclated media wrote numbers,neutral
3247,watever movie results arehe providing employment k n k members single dayhe provide food setshe pay taxes wen movies releaseso fast foodsmall business ppl theatres,negative
3248,released tickets priced higher normal,neutral
3249,times watched theatre,neutral
3250,interpretation scriptures movie sponsored muslim interpreted interpretation supervision deep scrutiny religious scriptures devils hands,negative
3251,kriti sanon slash fee time years adipurush failure,negative
3255,offering comments box,neutral
3256,authority declare movie hit flop certify ur figures r authentic ur personal opiniontrust vro entirely,negative
3257,days worldwide gross apprx,negative
3258,predicted earlier score gross share nd weekend falls short share gross world wide share states predicted movie effected mixed reviews targeted negative propaganda,negative
3261,manam ga undi haters entha chesina vallani fight chese unity manalo undali adi important aa ability ippudu ni ts hit chesi chupinchali manam hindi hit capacity ni manam ela chupisthamo hands,negative
3263,detailed collection monday break guarenteed,neutral
3268,mene release week survive payegi eagerly waiting,positive
3270,week collect week collections hindi,neutral
3271,box office earnings reached alltime low week,negative
3273,antisanataniantihindu actress forgive act fake janaki sita devi ban,negative
3274,visual wonder awe lyrics powerful chants telugu yt,positive
3276,biased showing hour trending tickets sold data hour data,negative
3279,stopping ban theatre immediate effect definitely shit film banned ott apologies publicly sins punishment,negative
3280,adipurush virender sehwag prime entertainment,positive
3281,big update director ayaan mukherjee started working upcoming project mahabharat fame prabhas source trust,positive
3287,ready pre wedding shot videos,positive
3288,ram words words whosoever loved ram interpretations versions ramayana exist vishnus avatar,positive
3289,beat expensive indian film budget salary stars,neutral
3290,global collection update gross nett overseas gross mn worldwide total crore gross,negative
3292,rebelstar holds record highest revenue generated actor indian cinema decade regional running totalapprox,neutral
3294,monday box office collections,neutral
3296,embrace powerful chants delve world devotion full video jai shri ram,positive
3297,peoples insulted shri put moustachemoochin real ramayana lord rama kishora young m chrama avatara god vishnuavatarigod moustache insulted,negative
3298,hindi domestic colls opening day end opening weekend end week lifetime collection,neutral
3300,days worldwide gross apprx,negative
3301,wingers sell money conveniently forget maskabaazi tweets dharma film sabka raita,negative
3302,success meet,positive
3304,vulgarthreat messages basis insult legendary actors arun govil ashish sharmaashiesh sharrmathis tweet promotes th century sati tradition charge case,negative
3305,pvr cinemas diamond plaza running trending movies elemental adipurush flash enjoy minutes latest trailers,positive
3307,strength strength global box office collects dayscontinues steady march box office,positive
3309,director om rauts magnumopus adipurush based epic ramayana continuing disastrous fall domestic box office read,negative
3310,strength strength global box office collects dayscontinues steady march box office,positive
3311,ramanand sagars ramayan retelecast tv amid adipurush controversy heres watch,neutral
3314,bhimavaram town th day noon show gross theaters,negative
3317,chief ministers make mockery hindu sentiments extending blessing antihindu,neutral
3318,total worldwide gross approximate figures films crores crores crores crores crores approximately,negative
3320,exclusive failed superstars,negative
3321,tseries highest grossing film worldwide gross crores starrer production companys film surpass crore mark starring,negative
3322,days tragedy announces oscar winning film rerelease,negative
3323,chief ministers blessed makers apologize publicly respect hindu sentiments,positive
3326,shame entire team,negative
3329,allahabad high court slammed makers censor board film withdrawn theatres dismissed dissolved lodged,negative
3331,adipurush talks due scenes movie demanding ban movie felt scenes movie irrelevant due controversies movie till suffering loss,negative
3333,bhimavaram town th day noon shows gross theatres,negative
3337,shivoham running mind saif literally saif raavan,neutral
3339,hope guys digging grave collaborating panoti,neutral
3341,movies shows till pm s s s s s,neutral
3342,movies shows till pm s s t s t s t s,neutral
3343,day tracked collection india till pm gross lakh shows hourly live report,negative
3346,dissolved issuing film public viewing film banned,negative
3347,embrace powerful chants delve world devotion full video jai shri ram,positive
3348,embrace powerful chants delve world devotion full video jai shri ram,positive
3351,post failure prabhas bounce back crore riding,negative
3352,adipurush days total world wide collections,neutral
3355,surpassed crs world wide mark,neutral
3356,embrace powerful chants delve world devotion full video jai shri ram,positive
3357,producers profitzone profitable zone hindi breakeven karntaka breakeven tamil malayam overseas breakeven week,positive
3358,row allahabad high court slams makers censor board dialogues,negative
3364,finds ott buyers blockbuster movies director claims film industry ganged punish showing truth,positive
3365,making claim efforts work boxoffice make film super hit writing random things sm,positive
3367,day film earns,neutral
3368,embrace powerful chants delve world devotion full video jai shri ram,positive
3369,delve world devotion full video jai shri ram,positive
3370,family pathetic presentation plz show knowledge artistic skill hindu mythology moral responsibility apologize,negative
3372,adipurush fame prabhas om raut devdatta nage secure top positions imdbs popular indian celebrities,positive
3374,embrace powerful chants delve world devotion full video jai shri ram book tickets,positive
3381,king nation deserved unconditional love respect,positive
3382,embrace powerful chants delve world devotion full video jai shri ram book tickets,positive
3383,stay loop latest bollywood buzz listen indian express updates upcoming action film fighter sonam kapoors thriller blind,negative
3386,leading ticket bookings hours compared upcoming newly released movies,neutral
3390,embrace powerful chants delve world devotion full video jai shri ram,positive
3393,adipurush earns crores monday,neutral
3394,dignity discipline devotion raavan lord shiva saifs perfection ajay atul excellence shivoham,positive
3395,embrace powerful chants delve world devotion full video jai shri ram book tickets cinemas,positive
3397,embrace powerful chants delve world devotion full video jai shri ram cinemas,positive
3398,soldiers helping kutch hit coastal areas kutch living helped bsf soldiers,neutral
3399,fake news alert prabhas forced adipurush om raut tseries,negative
3400,embrace powerful chants delve world devotion full video jai shri ram book tickets cinemas,positive
3401,fake news alert prabhas forced adipurush om raut tseries,negative
3402,ram hanuman starting meet ayye scene ayithe pure iconic e scene expressions pure god level nijamga vallani ressemble chesinatte vunnayi hanuman vunna scenes anni bagunnayi vfx anthey movie antha baaganey vundi,neutral
3405,embrace powerful chants delve world devotion full video jai shri ram telugu book tickets cinemas,positive
3406,embrace powerful chants delve world devotion full video jai shri ram book tickets cinemas,positive
3409,embrace powerful chants delve world devotion full video jai shri ram book tickets cinemas,positive
3411,embrace powerful chants delve world devotion full video jai shri ram book tickets cinemas,positive
3413,day box office collection details inside,neutral
3415,embrace powerful chants delve world devotion full video jai shri ram book tickets cinemas,positive
3416,ww bo zooms past week week day day day day total th film cross mark follow,neutral
3418,embrace powerful chants delve world devotion full video cinemas,positive
3419,embrace powerful chants delve world devotion full video jai shri ram book tickets cinemas,positive
3423,ww bo zooms past week week day day day day total th film cross mark,neutral
3424,life time collection india,neutral
3427,collected gross ww days,negative
3428,embrace powerful chants delve world devotion full video jai shri ram book tickets cinemas,positive
3430,miserable creatures prabhas lovers handles sell highest buy dharma janta shown aukaat,neutral
3434,overrated currently drunken guy movie sleepy tired eyes dead face,negative
3435,nepotism actor flops movie career special guest proves tollywood movie industry nepotism drugs escort service actresses,neutral
3436,makers blending scenes avengers asgard extraction create modern ramayana,neutral
3439,bhimavaram town days town gross,negative
3441,huge budget adipurush fails impress reviewers audiences wanted magic,neutral
3444,whats roi films lottery star zero act easy money garbage,positive
3446,rebelstar holds record highest revenue generated actor indian cinema decade regional running totalapprox,neutral
3449,chittoor town days gross lks,negative
3452,make militancy popular modi ji stole image angry hanuman motorcycles cars accept version truth god mount cowbull baba dare,positive
3454,share crossed adhipurush share breakeven ww,positive
3455,rectify mistakes rerelease dasara victory evil jai shree ram,negative
3456,box office collection day film earns crore monday,neutral
3457,year opportunity release remastered version indian theatres love movie grown release adipurush,positive
3460,hand leg painting prabhas made mouth great talent,positive
3461,strength strength global box office collects days continues steady march box office show,positive
3463,bench strong view controversial dialogues scenes court task central board film certification approving controversial dialogues scenes film asked board spare religious texts ramayan quran guru granth sahib bhagavad gita,neutral
3464,movie history film making courses strong case study make movies money buy class skills make movies,positive
3472,a size ivory paper fabercastle watercolor pencil hour art,neutral
3473,actor siddhant karnick filmmakers pop culture smartly bring focus itihaas,positive
3474,om rauts earned crore early estimates monday earned crore,neutral
3475,minted crore nett domestic monday release,neutral
3477,hindi epic flop languages disaster,negative
3479,rebelstar holds record highest revenue generated actor indian cinema decade regional running totalapprox,neutral
3481,lovely surprising visuals made single guy small team,positive
3482,greatest story time,positive
3485,ended collections range apts c north c ka c tnmal c os c total ww share total ww gross total ww recovery loss final verdict flop,negative
3487,crashing hard week,negative
3492,story line wacth,neutral
3495,yearsthis make movie research honesty remembering god lost respect,positive
3496,set hear pleas film tuesday lucknow bench high court monday allowed amendment application petitioner raised objections movie different counts,neutral
3497,hey guys mc abusing darling insta story lets show tht bastard power lets make regret,negative
3500,box office collection starrer registers lowest collection day,negative
3501,terrible casting nitish sikha air cast terrible choice,negative
3503,renovating panindia movie panworld follow,neutral
3505,weakest link legends save movie screenplay sucks prediction flop legends paid,negative
3507,today watched love movie ram innocent kriti bgms songs soul film goosebumps time team ravana side messed dressings hairstyle,positive
3508,actress mesmerizing saree,neutral
3510,break records,neutral
3512,nagpur stage protest film raise nagpurkars issues waterlogged roads incomplete road works adding woes,negative
3519,update box office,neutral
3521,action cut teaser anthe idhee malli e range ni thone break kavali,negative
3523,collects lowest numbers release moves complete extraction,negative
3532,unleash power,neutral
3534,hindu hutiyuyeyapa read ramayan history watch atleast matters hindus,neutral
3535,reports disastrous monday box office record loss,negative
3536,openings crores endhi ra saami producer thammareddy,neutral
3537,ramayan retold ways forms insult story characters version reflects person times retold ramayan hurt including hurt,negative
3539,sees worst day box office,negative
3540,call legit info family,neutral
3543,prabhas kamal hasan box office blast,neutral
3544,worldwide ten day boxoffice gross global box office,negative
3546,incredibly touched overwhelming response shown adipurush jai shri ram book tickets cinemas show,neutral
3549,incredibly touched overwhelming response shown adipurush jai shri ram cinemas,neutral
3552,prabhas kriti sanonstarrer adipurush downward spiral film collected meagre crore monday initial estimates,neutral
3553,total worldwide gross approximate figures films crores crores crores crores crores approximately,negative
3554,mind boond boond banta sagar yu chalnese milti hit verdict hindi hit superhit banana,neutral
3556,strength strength global box office collects days continues steady march box office,positive
3560,flop saaho hit hindi belt back upcoming films,negative
3561,box office collection day prabhas film sees lowest earning struggles hit crore mark,negative
3564,yesterday vanshika movie ramayan stretch imagination wannabe action flick form changing rakshas flying moneys super villian super hero makers masala sadly messed,positive
3565,collection format weekend india nett overseas gross worldwide gross lifetime ww gross trend verdict disaster,negative
3567,today watched movie comedy movie hilarious dialouge directed produced shame depict hindu mythology manner shows ur family upbringing sanskar aache mile tm logo,neutral
3570,price states highthey discount hindi weekdays watched time,neutral
3571,srikakulam day gross scrns total days gross lkh d,negative
3573,movie crossed,neutral
3574,makers film blow allahabad high court reprimanded spare religious texts ramayana gita guru granth sahib quran play religious sentiments,neutral
3578,power star garu abbott movies,neutral
3579,nizam disaster talk share disaster talk aah time highest set cross share mark ee time highest imagine oka proper talk padithe numbers ae range untayo,negative
3580,prabhas fans kill bondam uncle songs vini agipoyaru,negative
3582,box office collection reducing ticket prices chance revival starrer,neutral
3583,exclusive actors react ban films release read,negative
3584,watch top copies scenes unseen,neutral
3586,box office prediction create magic amid debacle,neutral
3587,watch top copies scenes unseen,neutral
3599,box office collection day prabhas film nosedives,neutral
3601,ww bo zooms past week week day day day day total th film cross mark nd film achieve feat,neutral
3604,full summary controversy,neutral
3605,watch top copies scenes unseen adekunle punisher hermes olivia rodrigo rachel,negative
3607,effects makers cheez haath laga usey lanka bna attempt spare original,neutral
3608,watch top copies scenes unseen,neutral
3609,watch top copies scenes unseen,neutral
3610,watch top copies scenes unseen,neutral
3612,column epic endures retelling inspires generations constantly evolving emotional power crime totally wrong impressing gen z,neutral
3619,starring constant controversy release allahabad high court heavily censor board amid dialogue controversy,negative
3620,starring constant controversy release allahabad high court heavily censor board amid dialogue controversy,negative
3621,starring constant controversy release allahabad high court heavily censor board amid dialogue controversy,negative
3625,patialabased mahant approached punjab haryana high court seeking ban screening movie,negative
3627,boycotting movie boycott created fake hype movie buying tickets watching movie helping jiju indirectly,negative
3628,adipurush movie bare sochte,neutral
3629,movies shows till am s s t s t s t s,neutral
3630,movies shows till am s s s s t s,neutral
3633,movies shows till am s s s s s,neutral
3639,post nepali definitely missing make speak anymore public raita failayega sorry bolde bhaaai,neutral
3640,vfx soul min scene make feel ramayana hrs long adipurush,neutral
3642,agenda disgusting weekend underreported claiming weekend nett telugu states claimed gross share tracked,negative
3645,question making mythological epics casting suits roles happened whats wrong cast boring types,negative
3647,head priest slammed reviews starrer suggests changes,neutral
3649,sad wasting time false promotions till days movie big opening correct highly negative reports made flop comeback fans accepted,negative
3651,shot depend theatre watch,neutral
3652,profit make chirpy zero profit tons loss,positive
3653,ticket prices fallen theatre nearby week waste money,negative
3655,trust rumours great movie,positive
3656,months watching film audience,neutral
3658,ram words words whosoever loved ram interpretations versions ramayana exist vishnus avatar,positive
3661,male lion basically useless layabout lazy animal comparing lion tweeted chirpy bravo,negative
3662,watch made subscribe,neutral
3663,lifetime nett india nett india fact prabhas th pan india film universal project ramayana pushpa hindi release allu arjun released peak covid occupancy clashed hype spiderman,neutral
3669,watched adipurush today thoughts language point added urdu words hindi,neutral
3671,ram sita ram divine union embodies essence pure love watch full video telugu book tickets cinemas,positive
3672,watch top copies scenes unseen,neutral
3673,st half consider hit movie pure hurting sentiment lead result,negative
3675,watch top copies scenes unseen,neutral
3676,watch top copies scenes unseen,neutral
3677,watch videos,neutral
3679,watch top copies scenes unseen,neutral
3680,forget movie register protest censor board movie passed dialogue wrong facts corruption suspend censor board,negative
3681,finally finished homage ramayana legend prince ram,neutral
3683,makers directors actors writters accept fault made cringe hurting sentiments crying fake interviews wtf man hanuman ji film ready luck,negative
3684,tn days gross tamil telugu,negative
3685,watched movie substandard work presented shoulders story general sentiments lord ram negative effort scenes poorest choice actors outfits colors,negative
3686,collection occupancy shows full houses cinemas cities,neutral
3688,adipurush disaster films budget crore rupees half spent actors vfx screenplay cinematography,negative
3689,collection occupancy shows full houses cinemas cities,neutral
